10,4
17,3
27,10
30,1
41,8
53,3
63,2
66,3
80,6
90,1
91,1
106,2
108,1
112,2
122,6
128,1
137,3
151,12
165,6
173,7
178,5
190,7
205,7
217,8
219,1
220,1
232,11
247,12
260,7
264,1
267,2
271,4
282,4
284,2
287,3
301,2
310,6
312,2
320,6
333,11
342,5
345,3
352,1
366,11
369,3
382,4
396,9
405,6
406,1
412,2
418,4
421,1
423,2
438,7
451,1
456,4
470,10
472,2
479,4
494,12
498,2
508,10
510,1
521,7
534,5
541,7
556,11
558,2
567,6
573,6
584,7
591,3
595,3
608,8
616,2
620,1
627,6
630,2
635,3
648,7
652,1
664,7
678,14
682,4
697,10
704,6
705,1
714,7
715,1
727,6
728,1
732,1
737,5
739,1
744,1
757,10
770,1
777,7
792,15
801,5
802,1
803,1
813,6
824,8
830,5
836,5
851,15
859,2
873,10
884,10
890,5
894,1
904,8
917,11
932,2
933,1
934,1
945,6
952,4
954,1
956,2
970,13
984,4
989,1
992,1
1000,8
1003,2
1018,8
1019,1
1029,3
1035,2
1038,2
1039,1
1053,3
1056,3
1068,9
1073,4
1088,10
1100,8
1113,1
1122,3
1126,4
1138,6
1150,11
1164,3
1174,3
1182,7
1191,8
1196,1
1203,2
1216,12
1219,1
1232,4
1233,1
1239,5
1241,1
1255,3
1263,1
1266,3
1279,1
1290,4
1294,2
1307,1
1321,1
1324,2
1326,1
1339,7
1352,12
1353,1
1354,1
1356,2
1371,13
1378,5
1381,1
1396,8
1407,9
1413,1
1427,8
1429,1
1438,9
1452,11
1457,5
1464,5
1475,9
1478,3
1487,6
1502,8
1516,6
1528,1
1539,3
1545,4
1549,3
1562,4
1575,4
1585,3
1596,5
1600,1
1610,7
1621,4
1631,2
1638,3
1647,1
1653,6
1654,1
1661,1
1674,6
1682,4
1690,3
1696,1
1702,1
1703,1
1712,2
1719,6
1721,1
1725,3
1738,3
1751,12
1752,1
1753,1
1754,1
1758,3
1768,2
1780,1
1784,3
1794,9
1807,5
1816,5
1825,7
1832,3
1844,12
1845,1
1849,4
1850,1
1856,4
1864,4
1867,2
1879,8
1881,2
1892,9
1897,1
1909,2
1919,4
1933,13
1941,7
1944,1
1949,5
1962,2
1967,2
1977,7
1979,1
1987,7
1998,9
2004,4
2016,7
2026,6
2038,7
2043,5
2056,10
2059,3
2061,2
2071,8
2082,3
2090,4
2094,2
2103,7
2109,4
2110,1
2120,1
2129,1
2139,1
2149,9
2159,5
2165,6
2175,5
2186,8
2196,9
2205,2
2213,8
2224,4
2225,1
2232,5
2241,1
2256,1
2263,3
2270,5
2277,1
2284,1
2286,1
2288,1
2291,1
2294,3
2303,4
2307,4
2310,2
2324,7
2331,2
2333,1
2339,5
2352,2
2358,2
2372,8
2377,4
2390,3
2395,3
2405,1
2415,1
2427,12
2441,13
2442,1
2451,9
2454,1
2458,1
2473,13
2482,3
2483,1
2487,2
2490,1
2493,3
2496,3
2502,6
2516,3
2525,7
2532,1
2545,4
2551,4
2566,2
2574,3
2586,5
2598,4
2606,4
2614,1
2629,8
2631,1
2633,2
2634,1
2635,1
2643,8
2646,2
2648,2
2661,2
2669,5
2679,10
2680,1
2684,1
2698,14
2713,4
2726,13
2737,10
2745,6
2750,4
2762,5
2764,1
2770,5
2772,2
2780,7
2791,8
2798,1
2802,4
2814,2
2825,6
2840,15
2855,2
2861,4
2873,6
2888,5
2895,5
2903,1
2915,6
2916,1
2929,1
2936,6
2943,1
2949,4
2960,1
2965,1
2980,10
2987,6
2989,1
2997,6
3010,7
3019,7
3020,1
3028,2
3039,8
3043,3
3050,2
3059,7
3066,2
3071,4
3084,4
3087,3
3095,6
3109,5
3116,7
3131,11
3146,9
3159,12
3171,12
3181,4
3183,1
3186,2
3199,2
3205,2
3210,3
3214,3
3217,3
3220,1
3235,9
3241,6
3256,3
3269,10
3282,3
3292,5
3301,1
3306,3
3315,1
3318,3
3329,8
3339,10
3349,2
3361,12
3369,8
3379,7
3391,3
3399,1
3407,1
3414,4
3418,1
3426,8
3440,4
3442,1
3444,1
3448,4
3463,9
3474,3
3488,12
3493,5
3496,1
3498,2
3503,4
3506,1
3508,2
3520,10
3528,1
3543,7
3546,2
3556,6
3569,1
3573,4
3576,2
3580,4
3584,3
3590,4
3605,11
3608,2
3623,12
3629,1
3637,5
3640,1
3644,1
3657,1
3671,4
3675,2
3676,1
3682,2
3692,8
3700,4
3712,11
3714,2
3728,4
3733,4
3740,4
3744,3
3753,5
3764,5
3766,2
3778,6
3780,1
3791,6
3795,3
3801,4
3806,3
3813,5
3818,1
3831,12
3835,3
3844,4
3852,6
3861,6
3869,5
3870,1
3885,4
3900,10
3904,4
3913,3
3916,1
3919,2
3934,5
3936,2
3948,10
3957,4
3970,9
3982,12
3986,2
3995,1
4006,4
4011,5
4024,2
4028,2
4031,1
4032,1
4035,2
4047,6
4052,5
4053,1
4061,7
4075,13
4078,3
4091,13
4097,4
4106,7
4115,1
4127,3
4128,1
4132,4
4143,6
4156,5
4163,1
4172,4
4186,8
4187,1
4197,5
4203,3
4208,2
4223,15
4224,1
4231,2
4237,4
4251,9
4254,1
4257,3
4266,4
4272,1
4273,1
4280,4
4287,4
4302,12
4303,1
4307,2
4321,11
4329,5
4333,3
4342,1
4346,1
4348,1
4363,7
4371,6
4378,7
4380,2
4388,2
4394,6
4397,1
4406,2
4409,1
4415,3
4418,3
4428,3
4438,1
4453,8
4458,4
4464,3
4467,3
4476,6
4478,1
4486,1
4489,3
4493,1
4502,1
4506,3
4512,6
4519,4
4524,3
4535,2
4543,4
4558,13
4562,2
4567,4
4582,8
4597,14
4605,5
4615,3
4620,5
4632,7
4644,12
4653,6
4661,5
4675,11
4680,3
4689,1
4695,4
4696,1
4711,14
4716,4
4729,12
4732,3
4745,9
4747,1
4762,12
4774,6
4778,3
4788,4
4799,1
4802,3
4811,9
4822,8
4823,1
4832,3
4845,10
4855,4
4863,8
4865,2
4875,10
4876,1
4880,4
4895,9
4902,4
4904,1
4906,2
4912,5
4927,4
4936,8
4949,13
4955,5
4962,3
4977,8
4987,4
4998,4
5003,4
5011,6
5025,10
5040,13
5042,2
5049,2
5058,3
5071,2
5079,2
5089,6
5091,2
5103,8
5110,3
5117,3
5131,7
5146,7
5150,2
5155,5
5162,7
5171,1
5175,3
5182,4
5185,1
5187,1
5202,14
5207,2
5212,2
5223,11
5235,3
5245,3
5247,1
5258,4
5267,6
5273,4
5280,6
5285,2
5292,2
5299,2
5313,3
5317,2
5319,2
5331,2
5346,4
5358,11
5367,7
5380,9
5387,4
5392,1
5394,1
5404,2
5409,2
5420,3
5432,8
5441,8
